"name","frequency","probability"
"Mary",4046787,0.0257080460324918
"Elizabeth",1591439,0.010109943288318
"Patricia",1570123,0.00997452901787865
"Jennifer",1461136,0.00928216670354306
"Linda",1449996,0.00921139756427234
"Barbara",1432413,0.00909969794346469
"Margaret",1234912,0.00784503225449634
"Susan",1116573,0.00709325943832415
"Dorothy",1105005,0.00701977134109939
"Sarah",1054061,0.00669613911210408
"Jessica",1037787,0.00659275518279602
"Helen",1013332,0.00643739976979193
"Betty",997758,0.00633846273433392
"Nancy",996097,0.00632791089049831
"Karen",980720,0.00623022533802381
"Lisa",962977,0.00611750928433615
"Sandra",868041,0.00551440883498198
"Anna",857201,0.00544554550736127
"Ashley",831060,0.00527947943288407
"Donna",829901,0.00527211664720949
"Kimberly",825164,0.00524202388125569
"Ruth",818053,0.00519684979244472
"Carol",815564,0.00518103790845506
"Michelle",802664,0.00509908800750422
"Emily",791824,0.00503022467988352
"Laura",788984,0.00501218299626333
"Amanda",776916,0.00493551854628855
"Melissa",746893,0.00474479126906009
"Deborah",738117,0.00468903992559152
"Rebecca",738070,0.00468874134843302
"Stephanie",732908,0.00465594868264168
"Sharon",720221,0.00457535190796236
"Kathleen",710129,0.0045112404040557
"Cynthia",705809,0.00448379671629542
"Shirley",683687,0.00434326216522298
"Amy",680721,0.00432442004070979
"Angela",656818,0.00417257132114173
"Catherine",651752,0.0041403885150784
"Virginia",644419,0.00409380412564643
"Katherine",621686,0.00394938807151345
"Brenda",605368,0.00384572462316339
"Pamela",593149,0.00376810091465809
"Frances",586754,0.00372747536298517
"Christine",579103,0.00367887081320418
"Nicole",577113,0.00366622892925905
"Emma",566956,0.00360170449949489
"Janet",554821,0.0035246144182516
"Carolyn",553027,0.00351321766458448
"Rachel",551624,0.00350430481876789
"Debra",550057,0.00349435012924929
"Samantha",549340,0.00348979523940574
"Martha",546748,0.00347332902674957
"Alice",545334,0.00346434630117248
"Marie",533490,0.00338910485722971
"Maria",525810,0.00334031607898921
"Heather",523159,0.00332347505670854
"Evelyn",523114,0.00332318918496103
"Diane",517382,0.00328677547703466
"Joyce",505644,0.0032122074198749
"Julie",504376,0.00320415218930082
"Joan",478748,0.00304134505274515
"Christina",470038,0.00298601298783958
"Kelly",468232,0.00297454000170646
"Ann",466668,0.00296460437030436
"Rose",465509,0.00295724158462979
"Doris",459887,0.00292152667430842
"Grace",457035,0.00290340875822224
"Jean",456808,0.00290196669407372
"Lauren",456317,0.00289884751567319
"Victoria",454484,0.00288720300649157
"Mildred",449759,0.00285718647300376
"Judith",448076,0.00284649486964715
"Kathryn",447424,0.00284235290566111
"Julia",441091,0.0028021212217292
"Cheryl",438746,0.00278722412733155
"Megan",433110,0.00275142027913318
"Andrea",420540,0.00267156677099736
"Lillian",413046,0.00262395959597987
"Jacqueline",412620,0.00262125334343685
"Teresa",409215,0.00259962238120912
"Sara",408915,0.0025977165695591
"Gloria",406429,0.00258192374368594
"Janice",402814,0.00255895871330321
"Hannah",399044,0.00253500901356796
"Theresa",398205,0.00252967909365341
"Judy",381011,0.00242045067528529
"Beverly",372472,0.00236620492302023
"Denise",369394,0.00234665129549103
"Amber",365526,0.00232207903061678
"Marilyn",365225,0.00232016686626126
"Danielle",361943,0.00229931728681005
"Jane",361439,0.00229611552323802
"Brittany",355746,0.00225994957082615
"Olivia",353907,0.00224826694541153
"Diana",352564,0.00223973526192494
"Irene",347703,0.00220885476048912
"Lori",339870,0.00215909401830711
"Madison",336128,0.00213532219432587
"Florence",333667,0.00211968818609021
"Tiffany",333512,0.0021187035167377
"Kathy",332920,0.00211494271508166
"Annie",332498,0.00211226187336063
"Tammy",331104,0.00210340620189354
"Lois",330251,0.00209798734410199
"Louise",329581,0.00209373103141694
"Ruby",328859,0.0020891443780459
"Crystal",327021,0.00207746810533678
"Kayla",325949,0.00207065800504071
"Alexis",323562,0.00205549409701205
"Phyllis",321620,0.00204315714293092
"Anne",318908,0.00202592860561475
"Bonnie",315205,0.00200240453714801
"Natalie",314879,0.00200033355515499
"Abigail",308632,0.00196064820389608
"Erin",308311,0.00195860898543056
"Taylor",304259,0.0019328678227443
"Charlotte",298954,0.00189916672006645
"Shannon",293870,0.00186686956530412
"Edna",293208,0.00186266407426308
"Alyssa",292458,0.00185789954513803
"Peggy",292132,0.00185582856314501
"Tina",288565,0.00183316846262627
"Robin",288248,0.00183115465498275
"Dawn",288122,0.00183035421408975
"Josephine",287507,0.00182644730020721
"Wanda",280352,0.00178099369235424
"Rita",279157,0.00177340220928166
"Ethel",278281,0.00176783723926361
"Norma",275939,0.00175295920298245
"Paula",275704,0.00175146631718994
"Allison",275156,0.0017479850345759
"Ellen",271231,0.00172305066548815
"Marjorie",269361,0.00171117110620302
"Sophia",265654,0.00168762162691428
"Connie",265454,0.00168635108581427
"Gladys",265183,0.00168462950262375
"Jamie",264640,0.00168117998353722
"Eleanor",263423,0.00167344874094364
"Leslie",262249,0.00166599066468656
"Edith",261062,0.00165845000325798
"Ella",260740,0.00165640443208696
"Carrie",258990,0.00164528719746185
"Clara",256402,0.00162884639562768
"Wendy",255969,0.00162609567414615
"Isabella",255558,0.00162348471218563
"Courtney",255364,0.00162225228731861
"Cindy",254875,0.00161914581432908
"Audrey",251469,0.00159750849939586
"Elaine",250958,0.00159426226688533
"Tracy",249985,0.00158808108443376
"Valerie",249363,0.00158412970161272
